Sighting Identifier (entry #),date and time reported,date observed,County,City,Habitat,firefly count (estimate),Sighting Notes
186,06/10/2024 4:35:49,6/9/2024 18:00,Marsh,Wasatch,,4,
188,06/11/2024 5:10:51,6/10/2024 18:00,"Marsh, lowland depression with patches of tall grasses",Davis,Can't remember,150,
194,06/13/2024 4:11:13,6/12/2024 18:00,Marsh,Summit,,2,
195,06/13/2024 15:10:17,6/4/2024 18:00,Wetlands,Utah,A neighbor,50,
196,06/13/2024 21:12:36,6/12/2024 18:00,They were in a field,Box Elder,I googled if there were fireflies in Utah,30,
201,06/15/2024 7:02:19,6/14/2024 18:00,Pasture,Box Elder,Ogden Nature Center presentation,9,
204,06/16/2024 16:46:26,6/15/2024 18:00,Lakeside,Utah,I was looking up where to find utah fireflies and found a ksl article,15,
207,06/18/2024 16:09:32,6/22/2023 18:00,Yard next to pasture/wetland,Utah,Instagram,3,
212,06/22/2024 13:24:12,7/2/1983 18:00,Marshy mountain meadow on sub ridge of Lone Peak.,Utah,Washington Post article,2,
213,06/23/2024 4:12:02,6/22/2024 18:00,Marsh,Utah,Google,2,
216,06/23/2024 21:24:31,6/19/2024 19:00,"Zion Canyon on the Grotto trail, low humidity temp mid 70°s",Washington,Was trying to identify what was seen. Found site via Google search,1,
222,06/24/2024 16:17:10,6/23/2024 18:00,"Tall grass, near wetlands, some pasture",Wasatch,Online search,2,
225,06/25/2024 5:15:08,6/24/2024 18:00,Grassy field park,Duchesne,Google,3,
227,06/25/2024 14:09:20,6/24/2024 18:00,"https://maps.app.goo.gl/Gi4D3UxruCtC5uhu8?g_st=ic
 There is a farming field with an irrigation ditch that must have water in it most of the time. The grass has grown very tall. They are in a very small area but they are definitely there!",Box Elder,News report,8,
240,06/30/2024 22:33:08,6/27/2024 18:00,Wetlands,Summit,Searched and found last year (2023),3,
241,07/01/2024 1:34:03,6/13/2024 18:00,"Wetlands, lakeside. Initially we thought we were just seeing reflections of distant lights on the water. However, we watched flashes and characteristic ""j"" pattern and knew we were seeing fireflies.",Summit,Internet search last year,3,
